name,temperature,luminosity,spectral_type,distance,magnitude
"WD 8750+338",6073,0.000529,"F2V",943,20.39
"TYC 4463-227-1",8513,17068.521225,"A7Ib",475.4,0.21
"HD 435805",11536,0.118073,"B7V",336.9,12.16
"HD 737927",19705,11.981383,"B4IV",533.8,8.24
"HD 638716",6271,0.000721,"F1V",593.1,18.91
"WD 6048+277",8536,0.003224,"DA5",733.2,17.91
"HD 887849",16767,2.337852,"B6V",408.5,9.43
"HD 321100",19131,7.608395,"B6V",913.7,9.56
"HD 197363",8072,0.003679,"DA6",626,17.45
"WD 8344+657",19542,0.001082,"DA2",875.1,19.58
"HD 152062",11095,0.017242,"B5V",904.4,16.41
"HD 496847",28399,1581.305834,"B6III",825.5,3.97
"TYC 1642-552-1",3940,17084.74138,"K5Ib",641.2,0.76
"HD 614055",15151,1.053251,"B2V",933.6,12.07
"HD 536005",24919,605.418355,"B2III",415.9,3.37
"HD 103835",6265,0.000641,"F3V",846.2,19.76
"HD 598411",21281,29.766942,"B9IV",364.4,6.16
"HD 516856",5503,0.000809,"G7V",273.5,17.15
"HD 216296",2819,0.000121,"M6V",750.4,21.38
"HD 698975",3481,0.000205,"M6V",972.9,21.35
"HD 255062",11367,0.03654,"B6V",964.2,15.87
"HD 165528",7205,0.002241,"F1V",882.6,18.72
"HD 433332",19727,5.931677,"B5V",381.8,8.2
"HD 920871",19416,8.29993,"B3V",704.5,9.25
"TYC 7041-766-1",14219,18851.887961,"B0Ia",950.1,1.6
"HD 619816",23967,189.458855,"B0III",647.1,5.58
"HD 360570",2665,0.000188,"M6V",789,21.06
"HD 202186",27586,1027.591944,"B5III",671.5,3.98
"HIP 76155",5114,779.784996,"K8III",816,4.54
"HIP 37913",4572,214.683983,"K0III",798.6,5.76
"HD 914956",5058,0.001226,"K6V",286,16.8
"HD 744051",28586,2814.725761,"B4III",945.4,3.64
"HD 290504",33471,136251.74799,"O3Ib",798.2,-1.15
"HD 426325",5667,0.000968,"G4V",597.8,18.78
"HD 202000",8394,0.002576,"DA6",734.5,18.01
"TYC 7328-989-1",12543,47966.044328,"B2Ib",759.3,-0.11
"HD 823397",14001,0.146606,"B8V",865.6,13.86
"HD 770740",2565,0.000072,"M2V",870,22
"HD 257943",34688,104951.477042,"O1Ib",973.7,-0.29
"HD 676111",10492,0.018264,"B0V",733.9,15.84
"HD 744894",2955,0.000127,"M3V",578.9,20.9
"HD 828221",8472,0.003745,"DA5",384,16.22
"WD 7018+535",14761,0.001365,"DA3",670.5,18.68
"HD 875713",26916,940.650777,"B2III",755.8,3.98
"WD 4161+186",15927,0.000973,"DA3",407.2,17.78
"HD 817595",10957,0.064394,"B3V",931,15.02
"HD 992253",15049,0.380562,"B6V",410.7,11.45
"HD 770459",4430,0.000661,"K3V",536.3,18.84
"HD 139635",27603,1570.559391,"B3III",985.6,4.27
"HD 672123",30759,25632.493569,"O2Ib",709.2,0.37
"HD 746705",9171,0.018411,"A9V",938.3,16.47
"WD 7204+453",13761,0.001837,"DA3",541.3,17.9
"HD 849109",2500,0.000112,"M0V",178.2,18.4
"HD 348718",3169,0.000195,"M6V",380.6,19.36
"HD 617692",6886,0.001148,"F0V",532.5,18.21
"HD 393937",3480,0.000131,"M3V",646.9,21.1
"HD 159778",30928,74408.168491,"O8Ia",677.3,-0.76
"HD 728082",4011,0.000599,"K5V",674.2,19.53
"HD 424918",25566,627.959232,"B2III",556.8,3.93
"HD 614069",11088,0.063368,"B6V",969.6,15.18
"HD 784259",32490,47651.110691,"O1Ia",844.2,0.16
"HD 455404",20836,26.55944,"B4IV",232.3,5.67
"WD 3294+623",22752,0.002616,"DA2",600.4,17.42
"HD 989124",2829,0.00039,"M1V",844.8,20.27
"HIP 59655",4364,403.651512,"K8III",497.4,4.23
"HD 263791",16846,2.250325,"B4V",953.3,11.17
"HD 812311",28084,2955.730214,"B2III",822.9,3.11
"HIP 90290",4394,144.168748,"K0III",805.2,6.35
"HD 802289",23927,50.710186,"B6IV",694.2,7.16
"HD 741650",23205,313.494757,"B2III",803,5.5
"HD 201946",5171,0.000714,"K2V",906.1,19.78
"HD 434357",3345,0.000298,"M8V",116.4,16.36
"HD 415359",3932,0.000121,"K3V",946.4,21.87
"HD 912547",10056,0.017818,"B8V",680.7,15.79
"HD 793704",6994,0.00265,"F2V",380.6,16.52
"HD 492249",11583,0.032166,"B7V",308.7,13.44
"WD 2531+350",8595,0.000239,"DA5",830.6,20.77
"HD 194648",22697,49.403902,"B3IV",929.7,7.71
"HD 200267",3586,0.000142,"M7V",329.1,19.43
"HD 346819",22277,38.621665,"B5IV",703.9,7.43
"HD 139031",8009,0.003482,"DA6",920.5,18.29
"HIP 48606",3000,293.504037,"M2III",386,4.06
"HD 469390",2579,0.000254,"M4V",835.9,20.88
"HD 304559",9574,0.010395,"A1V",954.5,17.08
"HD 837952",2688,0.000157,"M2V",357.4,19.48
"HD 186649",2701,0.000125,"M7V",613.3,20.82
"HD 680178",19243,3.447911,"B1V",818,10.55
"HD 326817",21261,26.188128,"B5IV",624.3,7.79
"HD 360824",7507,0.001472,"A9V",870.9,18.99
"HD 412389",3252,0.00015,"M4V",769.5,21.27
"WD 1012+413",20840,0.001559,"DA2",516.9,17.84
"HD 289034",26405,544.322526,"B8III",958.9,5.35
"HD 565766",2884,0.000069,"M1V",436.7,21.01
"HD 487715",12670,0.119217,"B7V",597.6,13.54
"HD 670703",30771,15433.269946,"O8Ib",581.2,0.76
"HD 885858",24072,1059.845018,"B5III",770.5,4.07
"HD 122950",13714,0.386797,"B0V",284.1,10.56
"HIP 46874",5051,41.237146,"K2IV",724.3,7.56
"HD 169243",15062,0.445327,"B4V",739.3,12.56
"WD 8509+299",23961,0.000792,"DA2",455.3,18.43
"HD 932071",9138,0.003628,"DA5",924.7,18.08
"HD 110614",4795,0.000414,"K4V",984.9,20.73
"HD 412608",10422,0.014519,"B1V",165,13.1
"HD 971034",2957,0.000075,"M8V",392.1,20.6
"TYC 5564-440-1",23501,339685.146832,"B4Ia",399.2,-3
"HD 736097",5218,0.000646,"G3V",264.2,17.2
"HD 640720",2572,0.000033,"M3V",644.9,22
"HD 305159",5539,0.00111,"G5V",361.1,17.42
"HIP 33095",3818,161.015044,"K6III",271.3,3.8
"HD 398117",30232,37544.18255,"O7Ia",305.9,-1.61
"WD 4522+660",6942,0.000697,"F6V",735.6,19.71
"HD 401327",22956,176.334209,"B3III",974.6,6.49
"HD 813764",2615,0.000081,"M0V",405.3,20.4
"HD 872554",30398,14265.699121,"O3Ib",721.3,1.19
"HD 338374",17151,2.288302,"B8V",707.5,10.53
"WD 8262+149",14062,0.000336,"DA3",835.2,20.51
"HD 233553",7952,0.001295,"A7V",942.6,19.6
"WD 8067+119",14941,0.000388,"DA3",398.5,18.59
"HD 800845",12281,0.029566,"B1V",599.1,14.99
"HD 476791",19496,15.392901,"B9IV",723.5,8.49
"HD 802037",33347,123502.571174,"O6Ia",520.4,-1.6
"HD 410725",5825,0.001187,"G9V",901.1,19.36
"HD 438191",13950,0.153224,"B2V",744.6,13.57
"HIP 100034",4472,193.644619,"K9III",445.7,4.8
"HIP 69267",3985,113.79965,"K5III",846.2,6.91
"WD 7191+691",17396,0.000269,"DA2",613.9,20.17
"HIP 108695",3352,79.821567,"M1IV",785.7,6.86
"HD 824478",3191,0.000222,"M8V",658.7,20.52
"HD 959497",2530,0.000126,"M6V",745.5,21.3
"HD 330217",4863,0.000199,"K8V",974.6,21.62
"HIP 8177",3463,244.62348,"M8III",920.1,6.31
"HD 962904",9901,0.010088,"A1V",829.1,16.89
"HD 311334",12763,0.066415,"B7V",443.9,13.48
"TYC 7215-838-1",12556,196426.800019,"B2Ia",864,-1.24
"HD 139478",21603,41.921882,"B1IV",832.6,7.84
"WD 1811+520",20364,0.000552,"DA2",975,20.41
"HD 153600",28807,15146.971976,"B4Ib",758.9,1.08
"HD 184569",17640,4.269666,"B5V",851.2,10.09
"HD 460941",5027,0.000896,"K6V",766.6,19.16
"HD 936904",31916,26709.483786,"O1Ia",761.8,0.7
"HD 457433",33028,137521.107081,"O9Ia",369.1,-2.47
"WD 5335+225",12786,0.000079,"DA3",523.8,21.34
"HD 475079",21384,31.929473,"B0IV",915.4,8.29
"HD 498609",19434,10.193698,"B7IV",640.8,8.79
"HD 555526",8223,0.003354,"DA6",627.5,17.31
"HD 258342",17601,3.382425,"B2V",210.6,7.58
"HD 566214",4036,0.000287,"K5V",153.8,17.29
"HD 538133",2818,0.000093,"M4V",528.8,21.04
"HD 385466",2614,0.000072,"M3V",541.6,21.32
"HD 825864",29429,9226.84519,"B6III",339.6,-0.15
"HD 278315",10369,0.03095,"B1V",850,15.67
"HD 893935",3467,0.000065,"M3V",907.4,22
"HD 783756",11264,0.0345,"B9V",711.3,15.13
"HIP 5269",5059,1043.388325,"K2III",985.1,4.62
"HD 332337",17818,4.641006,"B4V",231.8,7.43
"HD 856957",6601,0.001996,"F0V",900.9,18.83
"WD 4652+826",16770,0.00059,"DA3",860.2,19.95
"HD 265500",26179,924.696902,"B2III",556.4,3.54
"HD 411042",9753,0.018742,"A5V",552.7,15.29
"HIP 6415",4252,297.459283,"K0III",936.9,6.12
"HD 722040",13449,0.097285,"B0V",992.5,14.84
"HD 311848",25341,784.520533,"B9III",805.5,4.58
"HIP 52483",4986,143.003528,"K3III",357.2,4.82
"HD 656985",8062,0.012757,"A1V",940.3,16.74
"WD 6903+279",14017,0.002842,"DA3",832.9,18.18
"HD 405442",29045,4363.28297,"B4III",395.6,1.1
"HD 644210",21613,31.360988,"B4IV",615.1,7.43
"HD 563853",15755,0.840518,"B1V",667.7,11.37
"HD 206829",6472,0.004374,"F9V",789.2,17.72
"HD 173851",8486,0.002034,"DA5",469.2,17.28
"HD 695511",14339,0.266604,"B8V",639.3,12.65
"HIP 85812",3761,119.536,"K9III",618.6,6.03
"HD 389330",20420,8.547957,"B4V",918,9.56
"HD 678825",25820,517.934448,"B8III",669.2,4.4
"HD 460219",20148,20.198615,"B2IV",542.7,7.66
"HD 586598",23486,46.677866,"B4IV",703,7.37
"TYC 9810-569-1",9854,49250.517585,"A3Ia",579.6,-0.67
"HD 223811",2501,0.000067,"M4V",852.3,22
"HD 686536",29514,6106.899362,"B8III",299.2,0.08
"HD 501748",17863,1.292629,"B7V",432.3,10.19
"HD 142416",11158,0.048891,"B2V",456.9,13.92
"HD 190471",14380,0.304148,"B2V",750.3,12.77
"HD 640473",8290,0.00393,"DA6",993.3,18.25
"WD 6370+619",14741,0.000592,"DA3",375.9,18.36
"HD 908262",14792,0.295952,"B8V",648.4,12.52
"HD 463509",4795,0.000378,"K7V",444.8,19.05
"HD 553898",29063,2021.995119,"B4III",808.4,3.63
"HD 222720",11520,0.035538,"B3V",939.8,15.7
"HD 119267",4955,0.000836,"K3V",196,16.34
"HD 651890",24146,180.957373,"B4III",621.4,5.55
"HD 768001",20268,22.817663,"B1IV",920,8.55
"HD 183728",4887,0.000492,"K5V",487.9,18.91
"HD 776451",4891,0.000668,"K0V",189.6,16.66
"WD 5178+414",22919,0.002053,"DA2",808.8,18.49
"HIP 93439",4026,527.198172,"K0III",733.2,4.65
"HIP 9584",3562,282.625117,"M5III",850.3,5.87
"HD 982167",26472,530.792148,"B3III",476.1,3.94
"HD 459892",3672,0.000437,"M7V",328.7,18.36
"HD 860042",21866,62.594186,"B2IV",708.3,6.87
"HD 939913",31662,31729.946802,"O7Ia",630.7,0.05
"HD 696621",27773,2746.305485,"B6III",673.7,2.74
"HD 855595",13661,0.373253,"B2V",343.1,10.92
"HIP 12838",5049,304.566016,"K5III",742.9,5.43
"WD 3087+164",8344,0.001059,"DA6",886.2,19.56
"HD 275904",22502,13.33469,"B8IV",468.1,7.68
"HD 430423",20818,25.046424,"B7IV",118.4,3.95
"WD 3014+547",12697,0.000461,"DA3",363.3,18.35
"WD 7822+755",6042,0.000375,"F2V",971.1,20.66
"HD 146368",7912,0.002224,"A6V",664.4,17.67
"HD 358621",5593,0.000508,"G8V",720.8,19.77
"WD 2218+297",20013,0.000641,"DA2",791.3,19.77
"HD 990486",16898,1.730354,"B4V",724.6,11.22
"HD 720905",17594,5.051127,"B2V",203.1,7.13
"TYC 1734-467-1",10781,21215.93463,"B0Ib",64.1,-3
"HIP 44288",4122,44.180351,"K0IV",677.9,7.35
"HD 380566",2599,0.000051,"M6V",599.1,21.76
"WD 3524+762",7249,0.000147,"F0V",680,21.2
"HD 266128",11165,0.085386,"B4V",502.8,13.42
"HD 882118",32557,44426.562539,"O8Ib",508.8,-0.76
"HD 441517",16925,1.343769,"B6V",944,11.73
"HD 641667",8920,0.00841,"DA5",465.5,15.78
"HD 101620",10410,0.017096,"B2V",653,15.72
"HD 201256",3924,0.000514,"K3V",714.6,19.73
"HD 441471",10486,0.030635,"B5V",786.2,15.54
"HD 910977",13479,0.06934,"B0V",871.7,14.66
"HD 889223",16770,0.905168,"B9V",929.3,12.23
"HD 956956",10843,0.034708,"B0V",783.1,15.38
"HD 598370",26171,737.001722,"B3III",322.7,2.74
"HD 830928",16581,0.671852,"B1V",681.5,11.91
"HD 755417",14275,0.241556,"B2V",777.8,13.19
"WD 1910+454",12991,0.000665,"DA3",598.3,19.03
"WD 1358+806",19580,0.000275,"DA2",345.2,18.77
"HD 234935",31176,19399.058664,"O4Ib",857.8,1.3
"HIP 13216",3618,432.084112,"M3III",798.5,5.01
"HD 586972",11044,0.022469,"B2V",48.6,9.97
"HIP 110399",4688,259.262332,"K3III",404.1,4.25
"HD 256418",22126,75.208393,"B5IV",771.7,7.06
"HD 874677",25902,825.397454,"B8III",991,4.94
"HD 534278",2876,0.000094,"M9V",256.7,19.26
"HD 684413",11770,0.061113,"B5V",908.7,15.08
"TYC 2878-930-1",6741,374233.260979,"F4Ia",816.1,-1.98
"HIP 36908",3990,48.693108,"K2IV",97,3.03
"HIP 27823",4383,288.143826,"K1III",55,-0.12
"HIP 45030",4759,137.405294,"K6III",523.7,5.7
"HD 110838",33308,231335.394724,"O2Ia",993.9,-1.28
"HD 532986",34897,412503.856509,"O4Ia",947.8,-1.88
"HIP 77679",3837,213.081105,"K4III",396,4.37
"HIP 109797",4171,95.09248,"K6IV",503.5,5.88
"HD 308730",14840,0.909967,"B5V",522.7,10.99
"HD 586496",2511,0.000048,"M0V",617.9,21.87
"WD 4827+689",14849,0.001592,"DA3",264.1,16.53
"HD 239076",3710,0.000645,"K7V",822.1,19.88
"HD 472465",9300,0.012796,"A2V",989,17
"HD 397930",11649,0.09163,"B6V",884.8,14.45
"HD 852977",2639,0.000179,"M4V",698.9,20.87
"HD 389270",8264,0.010368,"A5V",714.7,16.56
"HD 437947",28865,1854.334137,"B5III",234.7,0.8
"HD 799362",10550,0.021614,"B2V",518.8,14.95
"HIP 68270",3431,106.293739,"M8III",544.6,5.74
"HD 586499",21815,72.806527,"B0IV",353,5.36
"HIP 105139",4884,154.627913,"K6III",155.9,2.66
"WD 1541+918",23350,0.001167,"DA2",197.4,16.17
"HD 631287",9680,0.03048,"A6V",312.9,13.65
"HD 836685",9767,0.005329,"DA5",658.5,16.99
"HD 125258",9776,0.013157,"A5V",909.3,16.74
"HD 832713",22184,43.770863,"B2IV",946.1,7.87
"HD 620968",14508,0.244242,"B7V",908.5,13.45
"HD 703651",31061,26512.013215,"O9Ia",767.4,0.62
"HIP 30056",4728,154.373984,"K5III",270.2,3.9
"HD 912657",2578,0.00013,"M7V",947.7,21.85
"HD 952159",11917,0.111078,"B8V",493.4,13.13
"HD 866839",16639,1.569579,"B1V",491.1,10.22
"HD 139908",2587,0.000257,"M6V",788.6,20.67
"TYC 1412-556-1",8591,37033.037212,"A5Ia",484.9,-0.88
"HD 236914",9841,0.018074,"A2V",689,15.78
"HD 186702",2884,0.000078,"M5V",689.7,21.64
"HD 801818",15122,0.385696,"B9V",572.3,11.99
"HD 809609",3772,0.000217,"K7V",623.3,20.45
"HD 431385",31011,19547.973354,"O0Ib",982,1.46
"HD 862117",32337,68242.776982,"O9Ia",304.3,-2.27
"HD 114550",6865,0.006182,"F9V",900.7,17.4
"HD 709877",7876,0.002772,"A9V",453.7,17
"HD 139003",8793,0.014878,"A5V",651.6,15.83
"HD 283852",2744,0.000115,"M2V",730.9,21.3
"HIP 60586",4776,43.359012,"K5IV",992,8.17
"HD 105342",20933,18.588529,"B9IV",948.3,8.91
"HD 385313",34401,425054.4276,"O1Ia",257.4,-3
"HD 427930",4748,0.000694,"K6V",408.4,18.03
"HD 427652",11253,0.034917,"B0V",484.3,14.3
"HD 512587",30966,25747.03851,"O2Ia",227.9,-1.9
"HD 559248",5472,0.001761,"G2V",471.2,17.64
"HD 960240",7378,0.001732,"F5V",547.2,17.87
"HD 843555",2631,0.00004,"M6V",982.5,22
"HD 637377",5883,0.001147,"G3V",690.6,18.78
"WD 9854+618",21034,0.003198,"DA2",267.6,15.65
"HD 763491",5940,0.001366,"G0V",956.7,19.44
"HD 532279",4307,0.000273,"K9V",824.4,20.67
"TYC 2445-677-1",6580,19400.186878,"F8Ia",787.4,1.14
"HD 716299",17871,9.419217,"B4V",387.9,7.76
"HD 478877",8560,0.002608,"DA5",435.9,16.95
"HIP 47073",5592,396.239576,"G9III",902.7,5.41
"HD 141651",33351,70854.519283,"O3Ib",773.4,-0.39
"HD 178281",9972,0.052969,"A4V",710.8,14.78
"HIP 55673",3824,146.633057,"K7III",633,5.81
"HD 875655",27299,3432.708964,"B7III",117,-1.21
"HD 160571",20183,23.509619,"B2IV",314.3,6.37
"HD 540004",7486,0.004724,"F4V",91.2,12.8
"HD 508424",14682,0.178095,"B5V",569.8,13.06
"HD 342669",16236,1.753314,"B7V",752.5,10.97
"HIP 64102",4244,205.470373,"K1III",585.6,5.27
"HD 415280",15634,2.135089,"B1V",770.1,11
"WD 2740+331",15916,0.000316,"DA3",483.6,19.47
"HIP 18753",3994,57.216594,"K8IV",751.1,7.04
"HD 689183",2579,0.000055,"M7V",993.2,22
"HD 858304",2510,0.000463,"M3V",918,20.33
"HD 158769",25851,919.461602,"B5III",508.2,3.32
"HD 448198",18629,11.294643,"B0IV",306.6,6.77
"HIP 70531",3276,268.124134,"M2III",465.7,4.62
"HD 850542",8160,0.012929,"A9V",948.2,16.94
"HD 525877",24570,261.266029,"B6III",590.3,5.11
"HD 361873",27669,2035.034926,"B1III",873.9,3.74
"HD 770232",2619,0.000095,"M4V",679.2,21.26
"HD 915377",9929,0.015057,"A2V",633.1,15.85
"HD 327190",13403,0.175853,"B9V",726.1,13.38
"HD 690530",21002,31.508215,"B9IV",902.8,8.39
"HD 296701",14813,0.722175,"B1V",313.1,10.06
"HD 576220",4944,0.000947,"K8V",470.1,18.15
"HD 322153",5036,0.000247,"K2V",697.1,20.56
"HD 578786",12165,0.045396,"B7V",810.3,15.18
"WD 7781+805",10501,0.00072,"DA4",523.8,18.65
"HD 388880",32050,83040.36722,"O6Ia",369.1,-2.33
"HIP 65946",3773,58.553321,"K4IV",590.8,6.67
"HD 753202",31878,30170.059227,"O2Ib",844.6,0.68
"HD 925141",4009,0.000387,"K3V",959.3,20.78
"HD 832323",34797,187035.372062,"O8Ib",714.7,-1.78
"HD 688091",5104,0.000604,"K4V",714.9,19.58
"WD 4874+578",15437,0.000338,"DA3",662.2,20.04
"HD 143271",32255,63933.280272,"O2Ib",491,-1.4
"HD 700594",8923,0.004757,"DA5",174.7,14.31
"HD 157370",3237,0.000034,"M5V",545.4,22
"HIP 12090",3656,557.747004,"M7III",887.7,5.2
"HD 305225",7411,0.000558,"F2V",705.5,19.62
"HD 463550",16928,0.676155,"B6V",705.1,12
"HD 185487",7574,0.002787,"A7V",587.3,17.4
"WD 3400+718",8925,0.000692,"DA5",861.7,19.77
"HIP 76990",3831,62.635473,"K7IV",807.6,7.24
"HIP 10730",4912,112.530916,"K4III",970.3,7.3
"HD 686888",3085,0.000223,"M7V",970.5,21.34
"HIP 5270",3383,1372.777711,"M8III",743,3.55
"HD 138158",32748,43084.838709,"O3Ia",826.9,0.38
"WD 5800+766",11606,0.002716,"DA4",871.2,18.45
"HD 350122",24565,175.451184,"B8III",866.8,6.34
"HIP 111831",4554,325.512192,"K3III",690.1,5.08
"HD 961234",6547,0.001776,"F5V",935,18.89
"HD 933024",23378,90.025749,"B8IV",854.6,7.15
"HD 177575",2737,0.000252,"M5V",263.6,18.28
"HIP 91502",5287,348.594918,"G3III",386,3.99
"WD 8902+673",23444,0.001064,"DA2",378.2,17.45
"HD 221553",8136,0.003208,"DA6",505.3,17.11
"HD 938166",34547,207101.556015,"O4Ia",209.1,-3
"HD 622367",16527,2.174082,"B3V",958.5,11.3
"HIP 30610",3683,154.508333,"M8III",669.1,5.89
"HD 308142",2779,0.000062,"M0V",706.4,21.99
"HD 269225",13008,0.058319,"B1V",600.8,14.25
"HD 440431",18860,5.975906,"B6V",529.2,9
"HD 485727",6164,0.001398,"F7V",828.2,18.91
"HIP 34787",3641,122.511846,"M5III",731.1,6.3
"WD 8015+652",19642,0.000177,"DA2",456.6,19.86
"HD 200536",25124,670.481637,"B9III",930.4,5.25
"WD 9790+882",6516,0.000945,"F8V",865.5,19.62
"HD 684822",3280,0.000136,"M6V",205.2,18.63
"HD 746613",6076,0.003728,"F5V",854.8,18.11
"HD 358774",10924,0.043598,"B7V",776.9,15.15
"HD 667029",31513,19347.526681,"O0Ib",611.2,0.4
"HIP 29864",3928,34.789745,"K9IV",628.6,7.33
"HD 424824",15360,0.975596,"B8V",707.9,11.47
"HD 766275",30809,41067.660794,"O3Ia",700.5,-0.07
"HD 534950",8229,0.002406,"DA6",632.4,17.81
"HD 618818",20114,13.687855,"B5IV",335,7
"HD 902117",3647,0.000242,"M1V",386.1,19.27
"HD 702491",2873,0.000173,"M6V",693.4,20.76
"HIP 77591",3279,154.154147,"M8III",858.6,6.41
"HD 169363",16955,1.172944,"B6V",889,11.95
"HIP 119520",4848,53.595606,"K7IV",811.6,7.42
"HD 474140",9646,0.008155,"DA5",976.1,17.56
"HD 520836",22626,31.006863,"B8IV",655.8,7.66
"HD 290775",13339,0.181743,"B1V",151.3,10.12
"HIP 54108",5398,172.988799,"G2III",737.6,6.08
"HD 976828",18229,4.842842,"B1V",766.7,10.01
"HIP 97804",3414,60.142537,"M4IV",783,7.23
"HIP 66710",5232,1396.324101,"G9III",349.2,2.13
"TYC 4491-498-1",14139,130885.880486,"B2Ib",868.3,-0.9
"TYC 3009-454-1",20235,371089.913611,"B6Ib",97.8,-3
"HD 975834",22692,97.170481,"B0IV",908.4,7.19
"TYC 3101-809-1",12046,87769.006077,"B9Ib",768.2,-0.77
"HD 165334",19283,10.825685,"B6IV",989.5,9.56
"TYC 8710-757-1",8228,12062.691696,"A9Ia",975,2.13
"TYC 5620-175-1",19764,83469.355092,"B0Ib",549.7,-1.38
"HD 535182",4325,0.000154,"K5V",944.5,21.63
"HD 786637",2930,0.00008,"M4V",174.2,18.63
"HIP 75633",4252,506.149792,"K6III",898.8,5.2
"HD 907253",6780,0.003706,"F2V",954.3,18.3
"HD 601691",9852,0.008484,"DA5",943.1,17.44
"HIP 32533",5016,980.614861,"K0III",284.2,2.12
"HD 166327",21312,51.687634,"B6IV",164.3,3.95
"HD 483591",3121,0.000103,"M7V",799,21.8
"WD 4675+695",7406,0.000269,"F4V",821.8,20.76
"HD 768335",13698,0.369808,"B5V",731.8,12.71
"HIP 55784",4668,188.364822,"K6III",380.8,4.59
"HD 858618",21744,56.857554,"B8IV",980.4,7.93
"HD 962367",3413,0.000125,"M2V",415.3,20.21
"HD 608271",32534,102153.731009,"O0Ia",660.2,-1.32
"HD 813886",2517,0.000077,"M7V",703.7,21.77
"HD 498727",8977,0.009691,"DA5",872,17.13
"HD 267503",8166,0.002212,"DA6",252.6,15.92
"HD 891760",3645,0.000284,"M7V",513.1,19.68
"HD 198023",6494,0.00304,"F4V",842,18.27
"HD 265128",11953,0.033077,"B7V",348.9,13.61
"HD 209343",16939,0.983142,"B4V",457.8,10.59
"HD 217639",4837,0.000263,"K8V",956.4,21
"HD 590106",10739,0.022668,"B6V",443.2,14.56
"HD 928371",7123,0.002585,"F6V",671.2,17.97
"HD 716413",21874,32.044434,"B7IV",793.3,7.85
"WD 1321+529",10503,0.000797,"DA4",837.8,19.62
"WD 5624+297",15111,0.000241,"DA3",955.9,21.22
"HD 970430",11724,0.051727,"B3V",726.6,14.7
"HD 340356",10393,0.014817,"B7V",980.7,16.66
"HD 361224",21419,38.668041,"B6IV",991.4,8.24
"HD 256499",3087,0.000191,"M5V",432.4,19.51
"HD 591406",6149,0.001774,"F7V",943.6,18.97
"HD 990433",20961,24.833134,"B7IV",186.2,5.27
"TYC 9942-917-1",19404,57213.745054,"B8Ia",789,-0.06
"HD 529778",3711,0.000769,"K7V",685.6,19.27
"HD 338247",4639,0.000204,"K2V",775.4,21.03
"HD 712062",2532,0.000098,"M0V",946.1,22
"HD 863149",14859,0.356825,"B2V",764.7,12.64
"WD 5968+504",11936,0.003335,"DA4",818.3,18.04
"HD 109986",2528,0.000105,"M5V",533.3,20.93
"HD 348811",17210,2.493549,"B8V",823.7,10.88
"HD 330838",31089,51044.907306,"O1Ia",127.7,-3
"HD 353467",23606,104.503752,"B3III",385.5,5.18
"WD 7285+886",18626,0.000928,"DA2",990.9,19.85
"HIP 59199",3493,77.957046,"M1IV",759.3,6.83
"HD 885995",7085,0.006072,"F7V",964,17.61
"HD 371991",28725,6283.891313,"B4III",912.5,2.38
"HD 111856",25075,181.637628,"B4III",136.1,2.18
"HD 981807",3202,0.00033,"M3V",407.8,18.99
"HD 240759",2768,0.000257,"M0V",856.4,20.83
"HD 526601",2671,0.000164,"M8V",719.9,20.92
"HD 696216",15991,0.926447,"B6V",836.6,11.91
"HD 310365",27558,1089.929318,"B9III",665.4,3.82
"HD 897747",2574,0.000077,"M1V",988.5,22
"HD 494217",14123,0.327651,"B5V",777.4,13.06
"HD 318051",32123,26856.877993,"O5Ib",747.3,0.57
"HIP 46211",4318,214.294924,"K3III",350,4.2
"HD 205174",26917,1601.315551,"B2III",886.4,3.94
"HD 575617",4553,0.00046,"K5V",710.5,19.86
"HD 261198",2573,0.000094,"M9V",354.9,20.2
"WD 6010+179",11909,0.000524,"DA4",804.6,19.85
"HD 349541",5551,0.000891,"G6V",680.3,19.14
"WD 7364+209",11312,0.000958,"DA4",701.7,18.98
"HD 329904",14243,0.227145,"B5V",793.1,13.21
"HIP 86583",3225,99.249779,"M5IV",530.5,6.02
"HD 265718",24122,356.989711,"B0III",916.6,5.68
"HD 738904",22947,59.27807,"B9IV",701.4,7.08
"HD 251606",27195,1447.720196,"B5III",911.3,4.19
"HD 661977",26711,670.073068,"B4III",294,2.51
"HD 653882",21261,11.650596,"B1IV",488.7,8.02
"HD 808878",13387,0.133562,"B6V",601,13.3
"HD 968068",2883,0.000048,"M2V",587.2,21.92
"HIP 53191",4057,309.545264,"K1III",638.8,4.98
"HD 562542",17390,2.39382,"B1V",708.5,10.51
"HD 575571",3389,0.000276,"M9V",184.4,17.6
"HD 645925",3098,0.000127,"M5V",616.4,20.85
"HD 513972",4580,0.000588,"K7V",348.7,18.07
"HD 410604",12520,0.112179,"B3V",712.6,13.94
"HD 533917",9105,0.010154,"A2V",897.3,16.99
"HD 396313",33707,180886.126876,"O3Ib",884.1,-1.06
"HD 398654",32972,71462.056086,"O1Ib",563.2,-1.16
"HD 571482",23119,132.541849,"B5III",893.9,6.74
"HD 814680",17972,4.742505,"B5V",617.6,9.36
"HD 848446",25569,886.7997,"B9III",750.7,4.24
"HD 347912",27698,4560.691161,"B1III",577.4,2.07
"HIP 36744",5073,71.777534,"K5IV",427.8,5.72
"HD 575093",3043,0.000045,"M1V",84.7,17.71
"HD 995669",8167,0.00639,"DA6",478.1,16.19
